CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST1000,Male,0,No,No,62,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),67.26,4088.4,No
CUST1001,Female,0,Yes,No,2,Yes,No,No,No,No,No,No,No,No,Two year,No,Electronic check,69.78,,No
CUST1002,Female,0,No,Yes,63,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No internet service,Two year,No,Electronic check,74.41,4841.91,Yes
CUST1003,Female,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),108.37,1725.66,No
CUST1004,Female,1,Yes,Yes,16,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No internet service,One year,Yes,Electronic check,65.03,1020.51,Yes
CUST1005,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,18.0,52.97,Yes
CUST1006,Male,0,Yes,No,18,Yes,No,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),109.65,2070.83,Yes
CUST1007,Male,1,No,No,42,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Mailed check,73.63,3129.2,Yes
CUST1008,Female,0,No,No,32,No,No,Fiber optic,No internet service,No,No internet service,No internet service,Yes,Yes,One year,Yes,Mailed check,36.47,1113.54,No
CUST1009,Female,0,No,No,50,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No,No,Month-to-month,Yes,Electronic check,91.86,4771.17,Yes
CUST1010,Female,0,Yes,Yes,49,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,25.85,1295.36,No
CUST1011,Female,0,No,No,3,Yes,No,DSL,No,No,No internet service,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),18.0,52.44,Yes
CUST1012,Male,0,No,No,72,Yes,Yes,DSL,Yes,No,Yes,No,No,No internet service,Month-to-month,No,Electronic check,97.66,6759.8,Yes
CUST1013,Female,0,No,No,5,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),99.87,493.22,Yes
CUST1014,Male,0,No,Yes,57,Yes,Yes,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),100.27,5548.47,No
